time (s)	Final count	dt	dc
3780	114.91	0	10.7196082
3800	112.91	0	10.62591173
3820	110.91	0	10.53138168
3840	103.91	0	10.19362546
3860	93.91	0	9.690717208
3880	93.91	0	9.690717208
3900	99.91	0	9.995498987
3920	100.91	0	10.04539696
3940	104.91	0	10.24255827
3960	99.91	0	9.995498987
3980	104.91	0	10.24255827
4000	101.91	0	10.09504829
4020	110.91	0	10.53138168
4040	99.91	0	9.995498987
4060	91.91	0	9.586970324
4080	99.91	0	9.995498987
4100	95.91	0	9.793365101
4120	103.91	0	10.19362546
4140	98.91	0	9.945350673
4160	95.91	0	9.793365101
4180	97.91	0	9.894948206
4200	76.91	0	8.769834662
4220	83.91	0	9.160240172
4240	78.91	0	8.883130079
4260	82.91	0	9.105492848
4280	82.91	0	9.105492848
4300	80.91	0	8.99499861
4320	94.91	0	9.742176348
4340	87.91	0	9.376033276
4360	79.91	0	8.939239341
4380	85.91	0	9.26876475
4400	74.91	0	8.655056326
4420	77.91	0	8.826664149
4440	68.91	0	8.301204732
4460	105.91	0	10.29125843
4480	72.91	0	8.538735269
4500	86.91	0	9.322553298
4520	75.91	0	8.712634504
4540	71.91	0	8.479976415
4560	80.91	0	8.99499861
4580	79.91	0	8.939239341
4600	89.91	0	9.482088378
4620	85.91	0	9.26876475
4640	80.91	0	8.99499861
4660	86.91	0	9.322553298
4680	70.91	0	8.420807562
4700	74.91	0	8.655056326
4720	89.91	0	9.482088378
4740	66.91	0	8.179853299
4760	62.91	0	7.93158244
4780	79.91	0	8.939239341
4800	36.91	0	6.075360072
4820	77.91	0	8.826664149
4840	76.91	0	8.769834662
4860	69.91	0	8.361220007
4880	67.91	0	8.240752393
4900	66.91	0	8.179853299
4920	73.91	0	8.597092532
4940	70.91	0	8.420807562
4960	66.91	0	8.179853299
4980	75.91	0	8.712634504
5000	52.91	0	7.273926038
5020	64.91	0	8.056674252
5040	60.91	0	7.80448589
5060	62.91	0	7.93158244
5080	64.91	0	8.056674252
5100	48.91	0	6.993568474
5120	58.91	0	7.675285011
5140	68.91	0	8.301204732
5160	53.91	0	7.34234295
5180	85.91	0	9.26876475
5200	69.91	0	8.361220007
5220	61.91	0	7.868290793
5240	56.91	0	7.543871685
5260	51.91	0	7.204859471
5280	63.91	0	7.994373021
5300	57.91	0	7.609862022
5320	58.91	0	7.675285011
5340	53.91	0	7.34234295
5360	63.91	0	7.994373021
5380	46.91	0	6.84908753
5400	53.91	0	7.34234295
5420	58.91	0	7.675285011
5440	59.91	0	7.740155037
5460	45.91	0	6.775691847
5480	54.91	0	7.410128204
5500	57.91	0	7.609862022
5520	57.91	0	7.609862022
5540	49.91	0	7.064700984
5560	68.91	0	8.301204732
5580	54.91	0	7.410128204
5600	52.91	0	7.273926038
5620	52.91	0	7.273926038
5640	37.91	0	6.157109712
5660	64.91	0	8.056674252
5680	53.91	0	7.34234295
5700	55.91	0	7.477298978
5720	52.91	0	7.273926038
5740	41.91	0	6.473793324
5760	38.91	0	6.23778807
5780	45.91	0	6.775691847
5800	34.91	0	5.908468499
5820	52.91	0	7.273926038
5840	36.91	0	6.075360072
5860	42.91	0	6.550572494
5880	49.91	0	7.064700984
5900	52.91	0	7.273926038
5920	40.91	0	6.396092557
5940	38.91	0	6.23778807
5960	39.91	0	6.317436189
5980	38.91	0	6.23778807
6000	43.91	0	6.626462103
6020	41.91	0	6.473793324
6040	47.91	0	6.921704992
6060	42.91	0	6.550572494
6080	35.91	0	5.992495307
6100	51.91	0	7.204859471
6120	46.91	0	6.84908753
6140	56.91	0	7.543871685
6160	36.91	0	6.075360072
6180	44.91	0	6.701492371
6200	40.91	0	6.396092557
6220	38.91	0	6.23778807
6240	37.91	0	6.157109712
6260	57.91	0	7.609862022
6280	39.91	0	6.317436189
6300	44.91	0	6.701492371
6320	44.91	0	6.701492371
6340	30.91	0	5.55967625
6360	45.91	0	6.775691847
6380	37.91	0	6.157109712
6400	32.91	0	5.736723804
6420	31.91	0	5.648893697
6440	24.91	0	4.990991885
6460	32.91	0	5.736723804
6480	45.91	0	6.775691847
6500	34.91	0	5.908468499
6520	24.91	0	4.990991885
6540	61.91	0	7.868290793
6560	34.91	0	5.908468499
6580	30.91	0	5.55967625
6600	42.91	0	6.550572494
6620	39.91	0	6.317436189
6640	36.91	0	6.075360072
6660	37.91	0	6.157109712
6680	34.91	0	5.908468499
6700	36.91	0	6.075360072
6720	41.91	0	6.473793324
6740	25.91	0	5.090186637
6760	43.91	0	6.626462103
6780	36.91	0	6.075360072
6800	38.91	0	6.23778807
6820	28.91	0	5.376802024
6840	21.91	0	4.680811895
6860	45.91	0	6.775691847
6880	34.91	0	5.908468499
6900	45.91	0	6.775691847
6920	36.91	0	6.075360072
6940	38.91	0	6.23778807
6960	26.91	0	5.18748494
6980	38.91	0	6.23778807
7000	29.91	0	5.469003566
7020	43.91	0	6.626462103
7040	33.91	0	5.823229345
7060	38.91	0	6.23778807
7080	42.91	0	6.550572494
7100	41.91	0	6.473793324
7120	35.91	0	5.992495307
7140	29.91	0	5.469003566
7160	32.91	0	5.736723804
7180	28.91	0	5.376802024
7200	30.91	0	5.55967625
7220	36.91	0	6.075360072
7240	37.91	0	6.157109712
7260	23.91	0	4.889785271
7280	25.91	0	5.090186637
7300	29.91	0	5.469003566
7320	28.91	0	5.376802024
7340	40.91	0	6.396092557
7360	26.91	0	5.18748494
7380	33.91	0	5.823229345
7400	17.91	0	4.232020794
7420	32.91	0	5.736723804
7440	34.91	0	5.908468499
7460	29.91	0	5.469003566
7480	28.91	0	5.376802024
7500	33.91	0	5.823229345
7520	29.91	0	5.469003566
7540	29.91	0	5.469003566
7560	35.91	0	5.992495307
7580	16.91	0	4.112177039
7600	28.91	0	5.376802024
7620	27.91	0	5.282991577
7640	23.91	0	4.889785271
7660	21.91	0	4.680811895
7680	26.91	0	5.18748494
7700	24.91	0	4.990991885
7720	31.91	0	5.648893697
7740	19.91	0	4.462062303
7760	33.91	0	5.823229345
7780	19.91	0	4.462062303
7800	21.91	0	4.680811895
7820	19.91	0	4.462062303
7840	26.91	0	5.18748494
7860	27.91	0	5.282991577
7880	22.91	0	4.786439178
7900	35.91	0	5.992495307
7920	18.91	0	4.348562981
7940	19.91	0	4.462062303
7960	24.91	0	4.990991885
7980	26.91	0	5.18748494
8000	25.91	0	5.090186637
8020	24.91	0	4.990991885
8040	14.91	0	3.861346915
8060	19.91	0	4.462062303
8080	22.91	0	4.786439178
8100	15.91	0	3.988734135
8120	25.91	0	5.090186637
8140	20.91	0	4.572745346
8160	10.91	0	3.303028913
8180	27.91	0	5.282991577
8200	18.91	0	4.348562981
8220	19.91	0	4.462062303
8240	13.91	0	3.72961124
8260	12.91	0	3.593048845
8280	19.91	0	4.462062303
8300	22.91	0	4.786439178
8320	19.91	0	4.462062303
8340	26.91	0	5.18748494
8360	25.91	0	5.090186637
8380	17.91	0	4.232020794
8400	14.91	0	3.861346915
8420	20.91	0	4.572745346
